Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrein,BHR,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15730.00,15350.00,17560.00,18560.00,19030.00,19740.00,21000.00,22000.00,23770.00,24370.00,25440.00,26280.00,27490.00,28550.00,28800.00,32090.00,34580.00,35790.00,38300.00,38840.00,40810.00,41510.00,43130.00,45930.00,48030.00,48870.00,49350.00,50240.00,51160.00,54410.00,,
Bahamas,BHS,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140.00,2210.00,2740.00,2270.00,2240.00,2390.00,2260.00,2060.00,2560.00,2530.00,2430.00,2430.00,2620.00,2600.00,2500.00,2350.00,2350.00,2370.00,2480.00,6440.00,2360.00,2870.00,3840.00,3120.00,2820.00,2520.00,2360.00,2500.00,3120.00,3160.00,,
Bosnia y Herzegovina,BIH,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30260.00,27540.00,20210.00,16790.00,6370.00,6280.00,7320.00,12220.00,14990.00,14990.00,18650.00,18360.00,18510.00,19020.00,20100.00,20800.00,22690.00,23850.00,25770.00,26040.00,26060.00,29180.00,27390.00,27180.00,24670.00,24890.00,27470.00,27730.00,27750.00,26230.00,,
Belarús,BLR,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137860.00,132810.00,119060.00,106270.00,93100.00,84960.00,85740.00,86100.00,84030.00,81520.00,78900.00,77610.00,77030.00,78210.00,82200.00,83070.00,86300.00,85090.00,89340.00,86410.00,91030.00,88100.00,89630.00,90110.00,89290.00,84740.00,83890.00,85380.00,88210.00,86830.00,,
Belice,BLZ,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6540.00,6760.00,6980.00,7040.00,7150.00,6060.00,4890.00,3940.00,2880.00,1790.00,750.00,860.00,940.00,1010.00,820.00,880.00,970.00,1070.00,1080.00,2130.00,1270.00,1430.00,1400.00,1290.00,1280.00,1480.00,1490.00,1490.00,1480.00,1550.00,,
Bermudas,BMU,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31220.00,32360.00,33160.00,31850.00,31080.00,29670.00,29330.00,31340.00,31320.00,31760.00,31740.00,31650.00,34340.00,35100.00,38120.00,40500.00,41480.00,42890.00,44360.00,45170.00,50520.00,50830.00,52620.00,54950.00,56200.00,57540.00,59790.00,60180.00,60250.00,60790.00,,
Brasil,BRA,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590340.00,611489.99,621450.01,632780.03,649590.03,676200.01,679289.98,708070.01,732049.99,748830.02,767750.00,792380.00,820650.02,835739.99,880979.98,891000.00,890570.01,914650.02,929710.02,905870.00,991489.99,1010710.02,1049939.94,1080709.96,1118099.98,1095300.05,1063569.95,1079310.06,1046579.96,1057260.01,,
Barbados,BRB,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3110.00,3140.00,3380.00,3230.00,3300.00,3360.00,3370.00,3480.00,3590.00,3640.00,3590.00,3660.00,3710.00,3720.00,3710.00,3760.00,3810.00,3840.00,4150.00,7000.00,3950.00,4170.00,4550.00,3890.00,3730.00,3740.00,3780.00,3690.00,3760.00,3790.00,,
Brunei Darussalam,BRN,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4670.00,4890.00,5170.00,5590.00,5890.00,6270.00,6470.00,6900.00,6130.00,6210.00,6610.00,6550.00,6560.00,7580.00,7180.00,7020.00,9770.00,9290.00,10150.00,9920.00,9240.00,9480.00,9450.00,9240.00,9130.00,8390.00,9030.00,9500.00,9810.00,9300.00,,
