Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
United States of America,United States,1976,Earths,0.018109557860170423,3.181289204310157,0.361317127803588,0.041828258591349435,0.46700760928758994,0.191366482420499,4.260918240273355,3A,US
United States of America,United States,1977,Earths,0.01967859733890422,3.3448094067119656,0.3959234756888536,0.03823806492653243,0.48712262954608376,0.19011159132686214,4.47588376553919,3A,US
United States of America,United States,1978,Earths,0.019741486037322026,3.300823039023045,0.35235899681028043,0.040286831998616185,0.5414605650985553,0.19244960727978228,4.447120526247618,3A,US
United States of America,United States,1979,Earths,0.02212340906328803,3.365290553856909,0.399306245844118,0.04205204750105109,0.5506967327260781,0.19283035096146428,4.572299339952891,3A,US
United States of America,United States,1980,Earths,0.02037890246969511,3.1349117341864705,0.2976865355930898,0.04166367079221872,0.5063876547959579,0.19039983271450875,4.191428330551937,3A,US
United States of America,United States,1981,Earths,0.023849571365599717,3.0336510785129915,0.3875487370184596,0.04488071264542865,0.49975522927695376,0.18847513729290666,4.178160466112341,3A,US
United States of America,United States,1982,Earths,0.024756042013615906,2.8438405522168524,0.4200837799859039,0.04522908992623513,0.4842642465018148,0.19297812878842585,4.011151839432848,3A,US
United States of America,United States,1983,Earths,0.01895385444231765,2.8640275556010715,0.2436176093930602,0.04734501331432392,0.5511485333442994,0.19459640203801273,3.9196889681330855,3A,US
United States of America,United States,1984,Earths,0.024412430663252726,3.022672415541822,0.3965833449697859,0.049058409423944294,0.6004859419425921,0.18968636531486127,4.2828989078562545,3A,US
United States of America,United States,1985,Earths,0.026312223319870532,3.06609174219201,0.5056916081798011,0.04815519176372515,0.5966874037390969,0.19174725243161136,4.434685421626119,3A,US
United States of America,United States,1986,Earths,0.024511811084617887,3.0899544961072514,0.45140009625718786,0.0484132641760021,0.6422847838583593,0.19461451151619605,4.451178962999611,3A,US
United States of America,United States,1987,Earths,0.024519775363277364,3.2031048369600974,0.3939669972895827,0.05811120179756749,0.6614193458025387,0.19521627957715224,4.536338436790214,3A,US
United States of America,United States,1988,Earths,0.02007630659539479,3.418956356691032,0.24163013271378678,0.05606440384941146,0.6536657836481229,0.19688890783907337,4.58728189133682,3A,US
United States of America,United States,1989,Earths,0.024260069508150364,3.4442755888015335,0.3451797891090741,0.06428808508712498,0.6529507252441227,0.19081208844515668,4.72176634619516,3A,US
United States of America,United States,1990,Earths,0.02671039008806122,3.3684315068581734,0.4322594002605371,0.06395408658242042,0.6569738672672957,0.19444860718825968,4.742777858244745,3A,US
United States of America,United States,1991,Earths,0.025317415559299842,3.382684588517517,0.3754539895523288,0.058097781577122413,0.6146002274231638,0.1967888572678151,4.652942859897247,3A,US
United States of America,United States,1992,Earths,0.028845608256594817,3.4660292060895093,0.4482096155522931,0.059750688869624875,0.6258671053142494,0.20023966866803034,4.828941892750303,3A,US
United States of America,United States,1993,Earths,0.02473267547354529,3.5794047309750017,0.33410352288914685,0.06886089963417713,0.644147543943579,0.2025294319027632,4.853778804818214,3A,US
United States of America,United States,1994,Earths,0.030763195009042905,3.682608000672898,0.48737101787963344,0.07228255774190769,0.6601717858667668,0.19567959078625619,5.128876147956493,3A,US
United States of America,United States,1995,Earths,0.02662882081157354,3.724673532572917,0.31358159505130784,0.06599251670635717,0.6476083589112495,0.19191919834574617,4.970404022399149,3A,US
United States of America,United States,1996,Earths,0.030085451433882374,3.8181398329729355,0.4243953091473748,0.06448227683879586,0.6340310360888631,0.18635232478127603,5.157486231263126,3A,US
United States of America,United States,1997,Earths,0.031857079636981624,3.9917484578282294,0.4728445643787852,0.06669573509714806,0.6552642261133172,0.18873400210100263,5.4071440651554505,3A,US
United States of America,United States,1998,Earths,0.03237957836366685,4.032562069164147,0.48268535758526415,0.07011316396490538,0.6758369842730377,0.19247696243042944,5.4860541157814575,3A,US
United States of America,United States,1999,Earths,0.032473335826802195,3.9764424304078445,0.46198587614362274,0.06914161832022866,0.6886474930744944,0.19172529292388393,5.420416046696856,3A,US
United States of America,United States,2000,Earths,0.033709910298528434,4.039489602027184,0.4653775070531475,0.06252395145350556,0.689083500751104,0.19202827370031633,5.4822127452837615,3A,US
United States of America,United States,2001,Earths,0.03260783377032893,4.012169934838304,0.44660890306003265,0.062085071734132864,0.6691326535486216,0.19644920136524288,5.419053598316662,3A,US
United States of America,United States,2002,Earths,0.03358584064866219,3.980011707049653,0.4073305066237469,0.06259170331203738,0.6808629844455988,0.20576198614673777,5.370144728226437,3A,US
United States of America,United States,2003,Earths,0.037048731109389534,4.06396558735666,0.4544642190543928,0.06576453672120172,0.6888324652748439,0.19762793091186034,5.507703470428346,3A,US
United States of America,United States,2004,Earths,0.040179479187312746,4.145112872005718,0.5406822350637763,0.06745871250419926,0.7106689866164818,0.21957525806215528,5.723677543439629,3A,US
United States of America,United States,2005,Earths,0.039239054928541094,4.248381353799888,0.5235724561419287,0.06903156559213343,0.7145935544828143,0.21934946555370355,5.8141674504990295,3A,US
United States of America,United States,2006,Earths,0.037885290488425476,4.249701245112851,0.48017147976999164,0.06925224645757129,0.691365515070323,0.2114631122775999,5.739838889176779,3A,US
United States of America,United States,2007,Earths,0.040511396838415,4.251682113808827,0.5119058647855357,0.06736607098655194,0.6134548189602692,0.2095978558658443,5.694518121245446,3A,US
United States of America,United States,2008,Earths,0.040517402497058735,4.0329686373192395,0.5170604482149381,0.06408052023357882,0.5173973612034747,0.19424251949869145,5.366266888966978,3A,US
United States of America,United States,2009,Earths,0.043110304079277864,3.677907121824436,0.5742400701758035,0.06174829850259972,0.428646521069239,0.19399613875066044,4.979648454402016,3A,US
United States of America,United States,2010,Earths,0.04191147114955833,3.901510854303752,0.5239132242301163,0.06743441092160508,0.47804914493798706,0.18465025065732618,5.197469356200345,3A,US
United States of America,United States,2011,Earths,0.03920377990860935,3.7106450614272006,0.4951516858087539,0.07050604879591597,0.48175272115275236,0.17384967051983682,4.9711089676130715,3A,US
United States of America,United States,2012,Earths,0.040396473095233976,3.5517602937177797,0.5210894977778835,0.06941072588115378,0.47825845911282056,0.17846600185551723,4.8393814514403894,3A,US
United States of America,United States,2013,Earths,0.042493138693579714,3.607992093732053,0.5717762044831376,0.07674157121222713,0.4868483885563946,0.17377067555698403,4.95962207223438,3A,US
United States of America,United States,2014,Earths,0.04408196453165155,3.568384622235927,0.5815331037177809,0.08195302197853234,0.49730206237166813,0.18674522103749297,4.959999995873055,3A,US
United States of America,United States,2015,Earths,0.04429771838880313,3.4924294080949503,0.5974827433008303,0.08017124478751998,0.5041239666213814,0.19472508471235203,4.913230165905838,3A,US
United States of America,United States,2016,Earths,0.04878596248036809,3.511333998796862,0.6432369406771199,0.07871283959172258,0.5504853888345554,0.18773711954131175,5.020292249921937,3A,US
United States of America,United States,2017,Earths,0.04456893685842119,3.5366065759508016,0.5705444267156313,0.08632162159299231,0.5389182715717445,0.18575405198782535,4.962713884677418,3A,US
United States of America,United States,2018,Earths,0.04568737797002555,3.6479708444980883,0.5926813893651767,0.08080869007989383,0.5824113657401786,0.18266652876397807,5.132226196417338,3A,US
